wave_size,num_simulations,total_time_ms,simulations_per_second,peak_gpu_memory_mb,efficiency_score,bottleneck_phase,tree_nodes,tree_memory_mb
1824,1000,82.54574000056891,12114.495551110305,341.587890625,36316.40284917361,expansion,351,8.756935119628906
1824,5000,230.7637319991045,21667.182952386138,660.35205078125,33599.0405678216,expansion,651,8.756935119628906
1824,10000,604.1328329993121,16552.65109554373,660.35205078125,25667.997398938423,expansion,1351,8.756935119628906
1824,25000,1908.4319879984832,13099.759465999827,660.35205078125,20313.639788524608,expansion,5251,8.756935119628906
1824,50000,4679.542392999792,10684.805436274251,660.6376953125,16561.635589942114,expansion,13551,8.756935119628906
2048,1000,67.19894399975601,14881.186228218568,760.09326171875,20047.980248158427,expansion,351,9.375587463378906
2048,5000,304.6512020009686,16412.211628116613,356.9130859375,47087.38729219464,expansion,1351,9.375587463378906
2048,10000,523.6835320010869,19095.502128524535,662.00537109375,29537.21379526392,selection,1101,9.375587463378906
2048,25000,1843.049388999134,13564.47643195076,662.00537109375,20981.7389296537,expansion,4751,9.375587463378906
2048,50000,4319.635456000469,11575.050836881215,662.291015625,17896.74293826997,expansion,11651,9.375587463378906
3072,1000,74.50688100107072,13421.579142275856,692.8681640625,19835.94824317939,expansion,351,12.203712463378906
3072,5000,184.35351799962518,27121.804098200966,721.47412109375,38494.419390198665,expansion,501,12.203712463378906
3072,10000,330.4797079999844,30259.04392290395,720.88232421875,42982.41188065425,expansion,851,12.203712463378906
3072,25000,1080.3154639997956,23141.388634241313,720.88232421875,32871.91427136778,expansion,2601,12.203712463378906
3072,50000,2548.108700000739,19622.396799628485,720.88232421875,27873.251497178193,expansion,6851,12.203712463378906
3648,1000,71.41734200013161,14002.201314047184,750.38916015625,19107.75755689052,expansion,351,13.794532775878906
3648,5000,144.48331099993084,34606.07294639305,780.0771484375,45427.069320113114,expansion,501,13.794532775878906
3648,10000,224.4059649983683,44562.09530826292,779.30078125,58554.52309757483,selection,651,13.794532775878906
3648,25000,661.5391420000378,37790.65880276903,778.43359375,49712.18473192401,expansion,1751,13.794532775878906
3648,50000,1915.0217700007488,26109.36375933755,779.2099609375,34311.66159297356,expansion,5251,13.794532775878906
4096,1000,70.47339599921543,14189.751832182643,802.39697265625,18108.62499649518,expansion,351,15.031837463378906
4096,5000,176.42533300022478,28340.601176553424,461.1669921875,62928.995562179174,expansion,851,15.031837463378906
4096,10000,240.84012099956453,41521.32110919377,824.3798828125,51575.534170919156,expansion,651,15.031837463378906
4096,25000,734.8584510000364,34020.1571690148,824.0830078125,42273.2183661253,expansion,1751,15.031837463378906
4096,50000,1815.1839160000236,27545.418158056964,824.3798828125,34215.42517221484,expansion,4751,15.031837463378906
4864,1000,73.5158980005508,13602.499965279723,662.95849609375,21010.30463674263,expansion,351,17.152931213378906
4864,5000,176.08289700001478,28395.71636534115,902.43017578125,32221.012038894503,expansion,501,17.152931213378906
4864,10000,245.08504799996444,40802.16268436519,902.43017578125,46298.77824355666,expansion,651,17.152931213378906
4864,25000,621.6293260004022,40216.892856151746,508.90625,80922.75990852813,expansion,1351,17.152931213378906
4864,50000,1450.1445259993488,34479.32195968062,902.43017578125,39124.16343585497,expansion,3701,17.152931213378906
